@relation 'Supermarket_Split-weka.filters.unsupervised.attribute.Remove-R1,107-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.StringToNominal-R5,72,86,102,104-weka.filters.unsupervised.attribute.Remove-R1-2,5-49,51-67,69-70,72-105'

@attribute 'bread and cake' {1}
@attribute 'baking needs' {1}
@attribute milk-cream {1}
@attribute fruit {1}
@attribute vegetables {1}

@data
1,?,1,?,1
1,1,1,1,1
1,?,1,1,?
1,1,1,1,?
?,?,1,1,1
1,?,1,1,1
?,1,1,1,?
?,?,?,?,?
1,1,1,1,1
1,1,1,1,1
1,1,?,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,?
?,?,1,?,?
?,1,1,1,1
?,1,?,?,1
1,1,1,1,1
1,?,?,1,?
1,1,?,1,1
1,1,1,1,1
1,1,1,1,?
1,?,1,1,1
1,1,1,1,1
1,?,1,1,1
?,?,1,1,?
1,1,1,1,1
1,?,1,1,?
?,?,?,1,?
1,?,?,1,?
1,1,1,?,1
?,?,?,?,?
1,1,1,1,1
1,?,?,1,1
1,?,?,1,?
1,1,1,?,?
?,1,?,1,1
1,?,?,1,?
1,?,1,1,1
1,1,1,?,?
?,1,?,1,1
1,1,?,1,?
1,1,1,1,?
1,?,1,1,?
1,1,1,1,1
?,?,?,?,?
1,?,1,1,1
1,1,1,1,1
1,1,1,?,1
?,1,1,1,1
1,?,1,1,1
1,1,?,1,1
?,?,1,?,?
1,?,1,1,1
1,?,1,?,1
1,?,1,1,?
?,1,?,1,?
1,1,1,?,?
1,1,1,1,1
1,1,?,1,1
1,1,?,1,?
1,1,1,1,1
1,?,?,1,1
1,?,?,1,?
?,1,?,?,1
?,1,1,1,1
1,?,1,?,?
1,?,?,1,1
?,1,?,1,?
?,1,?,1,?
1,1,1,?,1
1,1,1,1,1
1,1,1,?,?
?,?,?,?,1
?,1,1,1,1
1,?,?,1,1
?,1,?,?,?
1,?,1,?,1
1,1,1,1,?
1,1,1,?,?
1,?,1,1,?
1,1,1,?,1
1,1,?,1,?
1,1,?,1,1
1,?,1,?,1
1,?,1,1,1
?,1,?,1,?
?,1,1,?,?
?,1,?,?,1
1,1,?,?,1
1,1,1,1,1
1,1,1,1,1
1,1,1,?,1
1,1,1,1,?
?,?,?,1,?
1,1,1,1,1
1,?,1,1,?
?,?,?,?,?
?,1,?,1,1
?,1,?,?,?
1,1,1,1,1
1,1,1,1,?
1,?,?,1,?
?,?,?,?,1
1,1,?,1,1
1,?,1,1,1
1,?,1,1,1
1,1,1,1,1
1,1,?,1,?
1,1,?,1,1
1,1,?,1,1
1,1,1,1,1
1,1,1,1,1
?,?,?,?,?
1,1,1,?,1
1,1,1,?,?
?,?,?,1,1
1,1,?,1,1
1,?,1,?,?
?,1,?,1,1
1,1,?,?,?
?,?,?,1,?
1,?,1,?,1
1,1,1,?,?
1,1,1,?,1
1,1,1,?,?
1,1,1,1,1
1,1,?,1,1
1,?,1,1,?
?,1,?,?,?
1,?,1,1,1
1,1,1,1,?
1,?,?,1,1
?,1,1,?,?
1,1,1,?,1
1,?,1,1,1
1,?,?,1,1
1,1,?,1,1
1,?,1,1,?
1,1,?,?,?
1,?,1,1,?
1,1,1,1,?
1,1,1,1,1
1,1,1,?,1
1,1,1,1,?
1,?,1,?,1
1,?,1,1,1
1,?,1,1,1
1,1,1,1,1
1,?,1,1,1
1,1,1,?,?
1,1,?,1,?
1,?,?,?,?
1,1,1,1,1
1,1,?,?,1
?,?,?,1,1
1,1,?,1,?
1,1,1,1,1
1,1,1,1,1
1,?,?,1,?
1,1,?,?,1
?,?,?,1,?
1,1,1,1,1
?,?,?,?,1
?,?,?,?,?
1,1,1,1,1
?,?,1,?,?
?,?,?,1,1
1,?,?,1,?
1,1,1,?,?
1,?,1,?,1
?,?,?,1,?
1,1,?,1,1
1,?,1,1,1
?,1,?,?,?
1,?,?,?,?
1,1,?,1,1
1,1,?,?,?
1,1,1,1,1
?,1,?,?,?
1,1,?,1,1
?,?,?,?,?
1,?,?,1,?
1,1,1,1,1
1,?,?,1,1
1,1,1,1,1
?,?,1,1,1
1,1,1,?,1
1,1,?,1,1
1,1,1,?,1
?,1,?,1,?
1,1,1,1,1
1,?,1,1,?
1,1,1,?,?
?,?,?,?,?
1,1,?,1,1
1,1,1,?,1
?,?,1,1,1
1,1,1,1,?
?,?,?,1,1
1,?,?,?,1
?,?,?,?,1
1,1,1,?,1
1,1,1,1,1
1,?,1,?,?
1,1,1,?,1
1,1,1,?,1
1,1,1,1,1
1,?,1,1,1
1,1,1,?,?
1,1,1,1,1
?,?,1,1,1
1,1,1,?,?
1,1,1,1,?
1,?,?,1,?
1,1,1,1,1
?,?,?,1,1
1,?,1,1,?
1,1,?,1,1
?,?,1,?,?
1,?,?,?,?
1,1,1,1,?
?,1,1,1,?
?,?,?,?,?
?,1,?,1,1
1,1,1,1,1
1,1,1,1,?
1,?,1,1,1
?,1,?,?,1
1,1,1,1,1
?,?,?,?,?
1,?,1,1,?
1,?,1,1,?
1,1,?,1,1
1,1,1,1,?
1,1,?,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
?,?,1,?,1
1,?,1,1,1
1,1,1,1,?
1,?,1,1,1
1,?,1,1,?
1,?,1,1,?
1,1,1,?,1
1,1,?,?,?
1,?,?,1,1
1,1,1,1,1
1,?,1,1,1
1,?,1,1,1
1,1,?,?,?
1,?,?,1,1
1,?,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,?
1,1,1,?,?
1,?,1,?,?
1,?,1,?,?
1,1,1,1,?
1,1,1,1,1
?,1,?,?,1
?,1,1,1,1
1,?,1,1,1
?,1,1,1,1
1,?,1,1,1
1,1,1,1,?
1,1,?,1,1
1,?,?,?,1
?,?,1,?,?
1,1,?,?,1
1,?,1,1,1
1,?,1,1,1
?,?,1,1,?
?,1,?,?,?
1,?,1,1,1
1,1,?,1,1
1,?,1,?,?
1,1,?,1,1
?,?,?,1,1
1,?,?,1,1
1,1,1,1,1
1,?,1,1,1
1,1,1,?,?
1,1,?,1,1
1,1,1,1,1
?,1,1,1,1
1,?,?,?,1
1,1,1,1,1
?,?,1,?,1
?,1,?,1,1
?,1,1,1,1
1,1,?,1,1
1,1,1,1,1
1,1,1,1,1
?,?,1,?,?
1,1,?,1,1
1,?,1,1,?
1,?,1,1,1
1,1,1,1,?
1,?,?,?,1
1,1,1,?,1
1,?,?,1,1
1,1,1,1,1
1,?,1,1,1
1,1,1,?,1
1,1,1,1,1
1,1,1,1,1
1,?,?,1,?
?,?,1,?,?
?,?,?,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,?,?
1,1,1,1,1
?,?,1,1,1
1,?,1,1,1
?,1,?,1,?
?,1,?,1,?
1,1,1,1,1
1,1,1,1,?
?,?,?,1,1
1,?,?,1,1
1,1,1,?,1
1,1,1,1,1
1,1,1,?,1
?,1,1,1,1
1,1,1,1,1
1,1,1,1,?
1,1,?,?,?
1,1,?,?,1
1,?,1,1,1
1,1,1,1,1
1,1,?,1,?
1,?,1,1,1
?,?,1,?,?
1,1,1,1,1
1,1,?,1,1
1,1,1,1,1
?,?,1,1,1
1,1,1,1,1
1,?,1,?,1
1,?,?,?,1
1,1,1,?,1
?,1,1,1,?
?,?,?,?,?
1,1,1,?,1
1,?,1,1,1
1,1,?,?,1
1,1,1,?,1
?,1,1,1,1
1,1,1,1,1
?,1,?,?,?
1,1,?,1,1
1,1,1,1,1
1,?,1,1,1
1,?,1,1,?
1,?,1,1,1
?,1,?,?,1
1,1,1,1,1
1,1,?,1,1
1,1,1,1,1
?,1,?,1,1
1,1,1,?,1
1,?,?,1,?
?,?,?,?,1
1,1,1,1,?
1,1,1,?,?
1,1,1,1,1
?,?,?,?,1
1,1,1,?,1
1,1,1,1,1
?,1,1,?,1
1,?,?,1,1
1,?,1,?,?
1,1,1,1,1
?,1,?,?,?
?,1,?,?,1
?,?,?,?,1
?,?,?,?,?
1,1,1,?,?
1,1,?,?,1
1,1,1,1,1
1,?,?,1,1
1,?,?,?,?
1,1,?,1,?
1,?,1,?,?
1,1,1,1,1
1,1,1,1,?
?,?,?,1,?
?,?,?,1,1
1,?,?,1,1
?,?,1,1,1
1,1,?,?,1
?,?,?,1,?
1,?,1,?,1
?,1,?,1,1
?,1,1,?,1
1,?,1,?,1
?,?,?,?,?
1,?,1,1,1
?,?,?,?,?
?,?,?,?,?
1,1,?,1,?
1,1,1,1,1
?,?,?,?,?
?,1,?,1,1
?,?,1,1,1
?,?,1,1,1
?,?,?,?,?
?,1,?,1,1
1,?,1,1,1
1,1,1,?,1
1,1,1,?,1
?,1,1,?,?
?,1,1,?,?
?,?,?,?,?
1,1,1,1,1
1,1,1,1,1
1,1,1,1,?
1,?,1,?,1
1,?,1,1,1
1,?,?,1,1
?,1,1,1,?
1,1,?,?,?
1,1,?,1,1
1,1,1,1,1
1,?,1,1,?
1,1,1,?,1
1,1,?,1,?
1,?,1,1,?
?,1,?,1,?
1,?,?,1,1
?,?,?,1,1
1,1,1,1,?
1,1,1,1,1
1,1,1,?,?
?,?,?,1,1
1,1,1,?,?
?,?,1,?,1
1,1,?,?,1
?,?,?,?,?
1,?,1,1,1
?,?,?,?,1
?,1,1,?,?
?,?,?,?,?
1,1,1,?,?
1,?,?,1,1
1,1,1,?,?
1,?,1,?,1
?,1,1,1,1
?,1,?,?,1
1,1,1,1,1
1,1,?,?,1
1,?,1,1,1
1,1,1,?,?
1,1,1,1,1
?,?,1,1,?
?,?,1,1,?
1,1,?,?,?
1,1,1,1,1
1,1,1,1,1
?,?,?,?,?
1,1,1,?,1
?,1,1,1,1
?,?,?,?,1
1,?,?,?,?
1,?,?,?,1
1,?,1,1,1
1,1,?,1,1
1,?,1,1,?
1,1,1,1,1
1,?,1,1,1
?,1,1,1,1
1,1,1,1,?
1,1,1,1,1
?,?,1,?,1
?,?,1,?,1
1,?,?,1,?
1,1,1,?,?
1,?,1,1,1
1,1,?,1,1
1,1,1,1,1
1,?,1,?,1
1,?,1,1,1
1,1,?,1,1
1,?,?,1,1
1,1,1,1,1
1,?,1,?,?
?,1,?,?,?
1,1,1,1,1
1,?,?,1,1
1,?,?,1,1
?,?,?,?,?
?,1,1,1,1
1,1,1,1,1
1,?,1,1,1
1,?,1,1,1
1,1,1,?,1
?,1,1,1,1
1,1,?,1,1
1,?,1,?,1
1,1,1,1,1
1,1,1,1,1
?,?,1,1,1
1,?,?,?,1
1,1,1,1,1
1,1,?,?,1
1,1,1,?,1
1,?,?,?,?
1,1,1,1,1
1,?,1,1,1
1,?,1,?,1
1,1,1,?,?
1,?,?,?,?
?,?,?,1,1
1,1,1,1,1
?,?,1,?,1
1,?,?,1,1
1,1,?,1,1
1,1,1,1,1
?,1,1,?,?
?,?,1,?,?
1,1,1,1,1
1,1,1,1,?
1,?,1,1,1
1,?,?,?,?
1,?,1,?,?
1,1,1,1,1
1,1,?,1,?
1,?,?,?,?
?,1,1,1,1
?,?,1,?,1
1,1,1,?,?
1,1,1,1,1
1,?,1,1,1
?,?,?,1,1
?,?,1,?,?
?,1,?,?,?
1,?,?,1,1
1,1,1,?,?
1,?,?,1,?
1,1,1,?,?
1,1,1,1,1
?,?,?,1,1
1,1,1,?,?
?,1,?,?,1
?,?,?,?,1
1,1,?,1,1
?,?,1,?,?
1,1,1,1,?
?,1,1,1,1
1,1,1,?,1
?,1,1,1,1
1,?,?,?,?
1,1,1,1,?
1,?,?,1,?
1,1,1,1,1
1,?,?,1,?
1,1,?,?,?
1,?,1,1,?
?,?,?,?,?
1,?,1,1,?
1,1,1,?,?
?,?,1,1,?
1,1,1,?,1
1,1,?,1,1
1,1,?,?,?
1,1,?,?,1
1,?,1,1,1
?,?,?,1,?
1,1,?,?,1
1,1,?,1,1
?,1,1,1,1
1,?,1,1,1
1,?,?,1,1
1,1,1,?,?
1,1,1,?,1
1,1,1,1,1
1,1,1,1,1
1,?,1,1,1
?,?,?,1,1
1,1,1,?,1
1,1,?,?,?
?,1,1,?,1
?,?,?,1,?
1,1,?,1,1
1,1,1,1,1
?,1,1,1,?
1,1,?,1,1
1,1,1,1,1
1,1,1,1,1
1,?,1,1,1
1,?,1,1,1
1,?,1,1,?
1,1,?,1,1
1,1,1,1,1
1,?,?,1,1
1,1,?,1,?
1,?,1,?,?
?,1,?,?,1
1,1,?,?,?
1,1,?,?,?
1,?,1,1,1
1,?,1,1,1
1,1,?,?,?
1,1,?,1,1
1,?,?,1,1
1,1,1,?,1
1,1,?,?,1
1,1,1,1,1
?,?,1,1,?
1,1,1,1,?
1,?,?,1,1
1,?,1,1,1
?,1,1,1,?
1,1,?,1,1
?,1,1,1,1
?,?,?,?,?
1,1,1,1,1
?,?,?,?,1
?,?,1,1,?
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
?,1,?,1,1
1,1,?,1,1
1,?,1,?,?
1,1,1,?,1
1,1,1,1,1
1,1,1,1,1
?,?,?,1,1
1,1,1,1,1
1,1,1,1,1
1,1,?,1,?
?,1,?,1,?
1,?,1,1,1
1,?,?,?,?
1,?,?,?,1
1,1,1,?,1
1,?,1,?,1
1,1,?,1,1
?,?,?,?,?
1,1,1,?,1
1,1,1,1,1
1,1,?,1,1
1,1,1,1,1
1,1,?,1,1
?,1,1,1,1
1,1,1,?,1
1,1,1,?,1
1,1,1,1,1
1,1,1,1,1
1,1,?,1,1
1,1,?,1,1
1,1,1,1,1
1,?,1,1,1
?,1,?,1,1
1,1,1,?,1
1,1,1,1,1
1,1,1,1,1
1,?,?,?,1
1,1,?,1,1
1,?,1,?,1
1,1,1,1,1
1,1,1,?,1
1,?,1,?,1
1,1,?,?,?
1,1,?,1,1
1,1,1,1,1
1,1,?,1,?
1,?,1,?,?
1,1,1,1,1
?,1,1,?,?
1,?,1,1,1
1,1,?,1,1
1,1,?,1,1
1,?,1,1,1
1,1,1,?,?
1,?,1,?,1
1,1,1,1,1
1,?,1,?,1
1,1,1,1,1
?,?,1,?,?
1,1,1,?,1
?,1,1,?,1
1,1,1,1,?
1,?,1,?,1
1,?,?,1,1
1,1,1,1,1
1,1,1,1,?
1,1,1,?,1
1,?,1,1,1
?,1,1,1,?
1,1,1,1,1
1,1,1,?,?
1,1,?,?,1
?,?,?,?,1
1,1,?,1,1
1,?,1,?,1
1,?,?,1,1
1,1,1,1,1
?,1,1,?,1
?,1,1,1,1
?,?,?,?,?
?,?,?,1,1
?,?,1,1,1
1,?,1,1,1
1,1,?,1,1
?,1,1,1,?
?,?,1,?,?
?,?,1,1,1
1,?,1,1,?
1,1,1,1,1
1,1,1,1,1
1,?,1,1,?
1,1,1,1,?
1,?,?,?,?
?,?,1,?,1
1,1,1,?,1
?,?,1,1,1
1,1,1,?,?
1,1,1,1,1
1,1,1,1,1
1,1,?,1,1
?,?,1,?,?
1,?,1,?,1
?,?,?,1,?
1,?,1,1,1
1,1,?,?,1
?,1,1,?,1
1,1,1,1,1
1,?,1,?,1
1,1,?,1,1
1,?,?,?,1
?,1,1,?,?
?,?,1,?,1
1,1,?,?,?
1,?,1,1,?
1,1,1,?,1
1,?,1,1,1
?,?,1,1,?
?,1,1,?,1
?,1,1,1,1
?,1,1,1,1
1,1,1,?,?
1,1,?,?,1
1,1,1,1,1
1,1,1,1,1
?,1,?,?,1
1,1,1,?,1
1,?,1,1,1
1,?,1,?,1
1,1,?,?,1
1,?,?,?,?
?,?,?,1,1
1,?,1,1,1
?,?,?,?,1
1,1,1,1,1
?,1,1,?,1
1,?,1,1,1
1,1,1,1,1
1,1,1,1,?
?,1,?,?,?
1,1,1,1,1
?,?,?,?,1
1,1,1,1,1
?,?,?,?,?
1,1,?,1,1
1,?,1,?,1
?,1,1,1,1
1,?,1,?,?
?,?,?,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,?,1,1
1,1,1,1,1
1,1,1,?,1
1,1,?,1,1
1,1,?,1,?
1,1,1,1,1
1,?,1,1,1
?,1,1,1,1
?,?,1,?,?
?,1,1,1,1
1,1,1,1,1
1,?,?,1,1
?,?,?,?,?
?,?,1,?,?
?,?,1,1,?
1,1,1,1,1
1,1,1,1,1
1,1,?,1,1
1,1,1,1,1
?,?,?,?,?
1,?,1,1,1
?,?,1,?,1
1,1,1,1,?
?,1,1,?,1
1,?,1,1,1
1,1,1,1,?
1,1,1,?,?
1,1,?,?,1
1,1,?,?,1
1,1,?,1,1
?,?,?,1,1
1,?,?,?,1
1,1,?,1,1
?,1,?,?,1
1,?,?,?,?
1,?,1,1,?
?,?,?,?,1
1,1,1,1,1
1,1,?,1,1
1,1,1,1,?
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,?,?,1,1
?,1,1,1,1
1,?,1,1,1
1,1,1,?,?
1,?,?,1,1
1,1,?,1,?
1,1,1,1,1
?,1,?,1,?
1,?,?,?,?
?,?,?,?,1
?,1,1,?,1
1,1,?,1,?
1,1,1,1,?
?,1,1,1,?
1,?,?,?,?
?,?,1,1,?
?,?,?,?,1
1,?,1,1,1
1,?,?,1,?
?,?,?,1,1
?,1,1,1,?
1,1,1,1,1
?,1,?,1,?
1,1,1,?,?
?,?,1,1,?
1,?,1,1,1
1,1,1,1,1
1,1,?,?,1
1,?,?,1,1
1,?,1,?,?
1,?,1,?,1
1,?,?,1,1
1,?,1,1,1
?,?,?,?,?
1,?,?,1,1
?,?,?,1,1
1,1,1,1,1
1,?,1,?,1
1,1,?,1,1
1,1,1,1,1
1,?,1,1,1
1,?,1,1,1
?,?,?,1,1
?,1,?,?,?
1,1,1,?,?
1,?,1,1,1
?,?,1,1,1
?,1,1,1,1
1,?,1,1,?
1,1,?,1,1
1,?,1,1,1
1,1,1,1,1
1,?,1,1,1
1,1,1,?,1
1,?,1,1,1
1,?,1,1,1
1,?,?,1,1
1,?,?,?,?
1,?,1,1,1
1,?,1,?,?
?,?,?,?,?
1,?,1,?,?
?,?,?,?,1
1,1,1,1,?
1,1,1,1,?
1,1,1,?,1
?,1,1,1,1
?,?,1,1,?
?,?,?,?,1
?,?,?,?,?
1,1,?,1,?
1,?,1,1,1
1,1,?,1,1
1,1,1,1,1
1,?,?,?,?
?,1,?,1,?
?,?,1,1,1
?,1,1,1,1
1,1,1,1,1
1,1,1,1,1
?,?,1,?,1
?,?,?,1,1
1,?,1,1,1
1,?,1,1,1
1,1,1,1,1
?,1,1,?,1
1,?,1,1,1
1,?,1,1,1
1,1,1,?,?
1,?,?,1,1
?,?,1,1,?
?,1,1,?,?
1,?,1,1,1
?,?,1,1,1
?,?,1,?,?
1,1,1,1,1
1,?,?,1,1
1,?,?,1,?
1,1,?,1,1
1,?,1,?,1
1,1,1,1,1
1,1,1,?,1
1,1,1,1,1
1,1,1,1,1
?,?,1,?,1
1,?,1,?,1
1,1,1,1,1
1,?,1,1,1
1,?,1,1,?
1,?,?,?,1
1,1,1,1,1
?,?,?,?,1
?,?,1,?,?
1,?,1,?,1
1,1,?,1,1
1,1,1,1,1
?,?,?,1,?
?,1,1,?,1
1,1,1,1,1
1,1,1,1,?
1,1,1,?,?
?,1,?,?,?
1,1,1,?,?
1,1,?,1,?
1,1,1,1,?
?,?,1,1,1
1,1,?,1,1
1,?,1,1,?
1,?,1,1,1
1,1,1,1,1
1,?,1,1,?
1,1,1,1,1
1,?,?,?,1
1,1,1,?,1
1,1,1,1,1
1,1,?,1,1
?,?,?,?,?
1,1,1,1,1
?,1,?,1,1
1,1,?,1,1
1,1,1,?,?
1,1,1,1,1
1,?,1,1,1
?,1,?,?,?
?,?,1,1,?
?,1,1,?,?
1,1,1,?,1
1,1,?,1,1
?,?,?,?,?
?,1,?,?,?
1,1,?,?,1
1,?,?,?,?
?,?,?,1,1
?,1,?,?,?
1,1,1,1,1
1,1,?,1,1
?,?,1,1,1
1,1,1,1,1
1,1,1,1,1
1,?,?,1,1
1,1,1,1,1
1,1,?,1,1
?,1,?,?,1
1,?,1,?,?
1,1,1,1,1
1,?,1,?,?
1,?,1,?,?
1,1,?,1,1
1,1,?,1,1
1,?,1,1,?
?,?,?,?,?
1,1,1,1,1
?,?,1,1,1
1,?,1,1,1
1,1,1,?,1
1,1,1,1,1
1,?,1,?,1
1,?,1,1,1
?,?,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
?,1,1,1,1
1,1,1,1,1
1,1,1,1,1
?,1,?,1,1
1,?,1,1,?
?,?,?,?,?
?,1,1,?,1
1,1,1,?,1
1,?,1,1,1
1,1,1,1,1
1,1,?,?,1
?,?,?,?,1
1,1,1,?,?
1,?,1,?,1
1,1,1,1,1
1,1,?,?,?
1,1,?,?,1
1,1,1,1,1
1,1,?,?,1
1,1,1,?,?
?,?,?,?,?
?,?,?,1,1
1,1,1,1,1
1,1,1,1,1
?,?,?,1,1
1,1,1,1,?
?,?,1,1,1
?,1,1,?,?
1,1,1,1,1
1,1,1,1,1
1,1,?,1,1
1,?,?,1,?
?,1,?,1,1
1,1,1,?,1
1,1,1,1,1
1,1,?,1,1
?,1,1,?,1
?,1,1,?,?
?,1,1,1,?
1,1,1,1,1
?,?,1,1,1
1,?,1,1,1
?,1,?,?,1
1,?,1,1,1
1,1,1,?,1
?,1,?,1,1
1,1,1,?,1
1,?,1,?,?
1,1,1,1,1
1,1,1,?,?
1,1,1,1,?
?,?,?,?,?
1,1,?,?,?
1,?,1,1,?
1,?,1,?,1
1,1,?,1,1
1,?,1,1,1
1,?,1,1,?
?,?,?,1,1
1,1,1,1,1
?,1,?,?,?
1,1,1,1,1
1,1,1,1,?
1,1,1,1,1
1,?,?,1,1
?,?,1,1,1
?,?,?,1,1
1,1,?,?,?
?,?,1,1,1
1,?,1,?,?
?,?,?,1,1
1,1,1,?,?
?,1,?,?,1
1,?,1,?,1
?,?,?,?,?
1,1,1,1,1
1,1,1,1,1
1,?,?,1,1
1,1,1,1,1
1,1,?,1,?
1,?,1,1,1
?,?,1,1,1
1,?,1,1,?
1,?,?,1,1
1,1,?,1,1
?,1,?,?,1
1,?,1,1,1
1,1,1,?,1
1,1,1,1,1
1,?,?,?,?
1,1,1,?,1
1,?,1,?,?
1,1,?,?,?
1,1,1,1,1
